,Game,Platform,Hours,earnings,whyplay,League,streams,Age,Work,Degree,Playstyle,SPIN_T,SWL_T,GAD_T,Social_Anxiety,Life_Satisfaction,Anxiety_Level,Narcissism,Residence,Birthplace,Residence_ISO3,Birthplace_ISO3
2421,League of Legends,PC,60.0,I play for fun,relaxing,Gold,5.0,22,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with real life friends,50.0,27,5,Severe,Dissatisfied,Mild Anxiety,3.0,Switzerland,Switzerland,CHE,CHE
2424,League of Legends,PC,35.0,I play for fun,improving,Platinum,12.0,22,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with strangers,7.0,26,7,None,Dissatisfied,Mild Anxiety,1.0,Belgium,Belgium,BEL,BEL
2437,League of Legends,PC,20.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Diamond,7.0,31,Employed,"Ph.D., Psy. D., MD (or equivalent)",Multiplayer - online - with online acquaintances or teammates,4.0,28,3,None,Dissatisfied,Minimal Anxiety,1.0,Czech Republic,Czech Republic,CZE,CZE
2438,Starcraft 2,PC,16.0,I play for fun,winning,Gold,20.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,30.0,29,0,Mild,Dissatisfied,Minimal Anxiety,2.0,Austria,Austria,AUT,AUT
2439,Heroes of the Storm,PC,10.0,I play for fun,having fun,Diamond,3.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,2.0,26,0,None,Dissatisfied,Minimal Anxiety,2.0,Sweden,Sweden,SWE,SWE
2443,League of Legends,PC,12.0,I play for fun,having fun,Gold,20.0,22,Student at college / university,Bachelor (or equivalent),Singleplayer,9.0,18,7,None,Slightly Satisfied,Mild Anxiety,1.0,USA,USA,USA,USA
2455,World of Warcraft,PC,15.0,I play for fun,winning,Diamond,0.0,18,Student at school,None,Multiplayer - online - with online acquaintances or teammates,8.0,11,0,None,Satisfied,Minimal Anxiety,4.0,Finland,Finland,FIN,FIN
2470,League of Legends,PC,10.0,I play for fun,having fun,Diamond,20.0,20,Student at school,None,Multiplayer - online - with real life friends,20.0,25,5,None,Slightly Dissatisfied,Mild Anxiety,2.0,Denmark,Denmark,DNK,DNK
2477,League of Legends,PC,15.0,I play for fun,improving,Platinum,10.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,44.0,13,13,Severe,Satisfied,Moderate Anxiety,1.0,Argentina,Argentina,ARG,ARG
2485,League of Legends,PC,21.0,I play for fun,having fun,Gold,4.0,24,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,9.0,20,3,None,Neutral,Minimal Anxiety,1.0,Germany,Germany,DEU,DEU
2488,League of Legends,PC,35.0,I play for fun,improving,Platinum,10.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,28.0,13,8,Mild,Satisfied,Mild Anxiety,1.0,USA,USA,USA,USA
2494,League of Legends,PC,10.0,I play for fun,winning,Silver,12.0,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with strangers,16.0,15,3,None,Slightly Satisfied,Minimal Anxiety,1.0,Denmark,Denmark,DNK,DNK
2500,League of Legends,PC,20.0,I play for fun,winning,Gold,4.0,23,Unemployed / between jobs,Bachelor (or equivalent),Multiplayer - online - with strangers,25.0,5,2,Mild,Extremely Satisfied,Minimal Anxiety,2.0,UK,UK,GBR,GBR
